module_category,component_category,year/month,number_sale
M8,P31,2006/3,118
M8,P31,2006/4,0
M8,P31,2006/5,0
M8,P31,2006/7,21
M8,P31,2006/7,0
M8,P31,2006/11,0
M4,P31,2006/5,0
M5,P31,2005/11,0
M5,P31,2005/11,168
M5,P31,2005/11,0
M5,P31,2006/10,0
M7,P31,2005/12,0
M7,P31,2006/6,0
M7,P31,2006/7,252
M1,P31,2006/2,0
M1,P31,2006/6,1361
M1,P31,2006/7,1311
M1,P31,2006/10,0
M1,P31,2006/11,1848
M1,P31,2006/12,0
M9,P31,2006/1,0
M9,P31,2006/9,0
M3,P31,2007/4,0
M3,P31,2007/6,0
M6,P31,2008/1,508
M2,P09,2007/5,61559
M4,P09,2005/1,0
M4,P09,2005/4,1469
M4,P09,2005/4,118
M4,P09,2005/10,0
M0,P09,2006/11,14559
M8,P09,2005/10,0
M8,P09,2006/1,0
M8,P09,2006/8,0
M4,P09,2005/12,1302
M5,P09,2005/9,0
M5,P09,2006/4,0
M5,P09,2006/4,135
M5,P09,2006/5,0
M5,P09,2006/6,0
M5,P09,2006/8,0
M5,P09,2006/12,0
M5,P09,2007/3,0
M7,P09,2005/9,0
M7,P09,2006/7,0
M7,P09,2006/8,168
M1,P09,2006/6,0
M9,P09,2005/8,336
M9,P09,2006/2,0
M9,P09,2006/4,0
M3,P09,2007/1,0
M3,P09,2007/1,11
M2,P10,2007/3,17
M2,P10,2007/4,101
M4,P10,2005/5,580
M4,P10,2005/8,0
M0,P10,2006/6,740
M0,P10,2007/3,0
M8,P10,2005/11,0
M8,P10,2006/9,420
M4,P10,2005/12,353
M5,P10,2006/6,41
M7,P10,2006/6,1344
M7,P10,2006/12,0
M7,P10,2007/1,0
M7,P10,2007/3,0
M1,P10,2006/2,0
M1,P10,2006/2,0
M1,P10,2006/9,3562
M9,P10,2005/7,0
M9,P10,2005/9,0
M9,P10,2005/10,1425
M9,P10,2006/1,0
M3,P10,2007/4,0
M3,P10,2007/6,6452
M2,P29,2007/2,0
M2,P29,2007/9,0
M4,P29,2005/3,2658
M4,P29,2005/8,269
M4,P29,2005/8,345
M0,P29,2006/4,24
M0,P29,2006/7,0
M0,P29,2006/9,12318
M0,P29,2006/12,0
M0,P29,2007/3,0
M0,P29,2007/4,0
M8,P29,2005/9,0
M8,P29,2005/11,0
M8,P29,2005/11,1677
M8,P29,2005/11,0
M8,P29,2006/1,0
M8,P29,2006/4,0
M8,P29,2006/5,0
M8,P29,2006/11,0
M4,P29,2005/12,0
M5,P29,2005/11,10166
M5,P29,2006/11,0
M7,P29,2005/9,0
M1,P29,2006/2,0
M1,P29,2006/11,1025
M9,P29,2006/1,-1
M9,P29,2006/7,755
M3,P29,2007/1,1848
M3,P29,2007/1,0
M3,P29,2007/7,0
M3,P29,2007/8,0
M6,P29,2007/10,0
M2,P25,2007/2,0
M2,P25,2007/6,0
M2,P25,2007/10,0
M4,P25,2005/1,0
M4,P25,2005/3,0
M4,P25,2005/7,236
M4,P25,2005/7,101
M0,P25,2006/2,0
M0,P25,2006/7,704
M0,P25,2006/9,0
M4,P25,2005/11,0
M4,P25,2005/12,5897
M4,P25,2005/12,4483
M5,P25,2005/11,730
M5,P25,2006/4,34
M7,P25,2007/2,0
M7,P25,2007/3,0
M1,P25,2006/7,0
M1,P25,2006/9,363
M1,P25,2007/2,0
M9,P25,2005/10,336
M3,P25,2006/11,1932
M3,P25,2006/11,0
M3,P25,2006/11,320
M3,P25,2007/3,84
M3,P25,2007/4,0
M2,P13,2007/3,0
M2,P13,2007/8,0
M2,P13,2007/8,0
M4,P13,2005/10,0
M4,P13,2005/11,0
M0,P13,2006/3,0
M0,P13,2006/4,0
M0,P13,2006/10,1210
M0,P13,2006/10,931
M0,P13,2006/12,0
M0,P13,2007/2,1008
M0,P13,2007/2,-5
M8,P13,2005/10,535
M8,P13,2006/1,6290
M8,P13,2006/4,168
M5,P13,2005/9,0
M5,P13,2005/11,0
M5,P13,2006/3,0
M5,P13,2006/7,0
M5,P13,2006/7,2016
M5,P13,2006/12,0
M7,P13,2006/4,1848
M7,P13,2006/10,0
M7,P13,2007/3,0
M7,P13,2007/3,0
M3,P13,2006/12,168
M3,P13,2007/1,622
M3,P13,2007/2,5991
M3,P13,2007/5,0
M3,P13,2007/6,0
M4,P08,2005/9,1333
M4,P08,2005/9,4258
M0,P08,2006/5,0
M0,P08,2006/10,8990
M0,P08,2006/11,84
M8,P08,2006/11,0
M8,P08,2006/12,0
M4,P08,2005/12,-3
M5,P08,2006/8,0
M5,P08,2006/12,0
M7,P08,2005/11,42
M7,P08,2006/11,0
M9,P08,2006/3,0
M9,P08,2006/9,0
M9,P08,2006/10,0
M3,P08,2007/2,-5
M3,P08,2007/5,0
M3,P08,2007/9,0
M6,P08,2008/2,34
M2,P26,2007/6,0
M4,P26,2005/1,0
M4,P26,2005/9,145
M4,P26,2005/9,152
M0,P26,2006/7,244
M0,P26,2006/10,118
M0,P26,2006/11,0
M8,P26,2006/9,0
M8,P26,2006/10,-1
M8,P26,2006/10,0
M4,P26,2005/11,0
M5,P26,2005/9,0
M5,P26,2006/8,0
M5,P26,2006/11,0
M5,P26,2006/12,0
M5,P26,2007/2,0
M7,P26,2005/10,168
M7,P26,2005/10,0
M7,P26,2006/12,0
M1,P26,2006/3,0
M1,P26,2006/10,59
M9,P26,2005/10,0
M2,P18,2008/1,0
M4,P18,2005/2,34
M4,P18,2005/3,0
M4,P18,2005/7,3460
M4,P18,2005/8,5323
M0,P18,2006/3,0
M0,P18,2006/4,0
M0,P18,2006/4,95
M8,P18,2005/9,0
M8,P18,2005/10,0
M8,P18,2006/2,1476
M8,P18,2006/8,2349
M4,P18,2006/1,0
M4,P18,2006/5,-13
M4,P18,2006/5,0
M5,P18,2006/1,491
M5,P18,2006/2,0
M5,P18,2006/2,3276
M5,P18,2006/4,420
M5,P18,2007/2,-1
M7,P18,2005/9,0
M7,P18,2006/3,51
M7,P18,2006/7,58
M7,P18,2006/11,0
M7,P18,2007/2,0
M1,P18,2006/7,494
M1,P18,2006/7,0
M9,P18,2005/9,0
M9,P18,2006/11,0
M3,P18,2007/2,148
M3,P18,2007/3,471
M3,P18,2007/3,0
M6,P18,2007/10,387
M2,P01,2007/8,11
M4,P01,2005/4,1830
M4,P01,2005/4,2069
M4,P01,2005/6,0
M0,P01,2006/6,540
M0,P01,2006/6,21
M0,P01,2006/9,2806
M0,P01,2006/10,0
M0,P01,2006/10,4091
M0,P01,2007/1,0
M0,P01,2007/2,0
M0,P01,2007/2,0
M8,P01,2005/12,706
M8,P01,2006/2,0
M8,P01,2006/9,0
M4,P01,2006/2,0
M5,P01,2005/9,0
M5,P01,2005/11,370
M5,P01,2006/3,51
M5,P01,2006/3,18583
M5,P01,2006/4,504
M5,P01,2006/9,0
M5,P01,2006/12,0
M5,P01,2007/2,0
M7,P01,2006/2,906
M7,P01,2006/6,530
M7,P01,2006/11,0
M7,P01,2006/11,0
M7,P01,2007/2,0
M1,P01,2006/8,5576
M1,P01,2006/10,0
M9,P01,2005/11,4763
M9,P01,2005/11,588
M9,P01,2006/8,0
M9,P01,2006/10,0
M3,P01,2007/2,51
M3,P01,2007/8,0
M4,P14,2005/9,1812
M4,P14,2005/9,365
M0,P14,2006/10,4671
M0,P14,2007/2,0
M0,P14,2007/3,0
M0,P14,2007/3,0
M8,P14,2006/1,420
M8,P14,2006/10,0
M4,P14,2005/12,101
M4,P14,2006/3,0
M4,P14,2006/4,0
M5,P14,2005/10,420
M5,P14,2005/11,0
M5,P14,2005/11,431
M5,P14,2005/11,0
M5,P14,2006/1,3945
M5,P14,2006/6,0
M5,P14,2007/2,0
M7,P14,2005/12,0
M7,P14,2006/8,0
M1,P14,2006/6,1361
M1,P14,2007/1,0
M9,P14,2005/11,0
M9,P14,2006/4,0
M9,P14,2006/6,34
M3,P14,2007/4,168
M3,P14,2007/7,0
M3,P14,2007/7,0
M2,P12,2007/4,244
M2,P12,2007/8,0
M2,P12,2007/12,0
M2,P12,2008/1,0
M4,P12,2005/1,0
M4,P12,2005/2,0
M4,P12,2005/6,0
M0,P12,2006/2,0
M0,P12,2006/9,0
M0,P12,2006/12,-1
M0,P12,2007/2,-6
M0,P12,2007/3,0
M8,P12,2006/12,0
M4,P12,2005/11,0
M4,P12,2005/12,0
M5,P12,2005/9,0
M5,P12,2005/12,68
M5,P12,2006/1,420
M5,P12,2007/3,0
M7,P12,2005/10,0
M7,P12,2005/12,0
M7,P12,2006/1,0
M7,P12,2006/3,61
M7,P12,2007/1,0
M9,P12,2006/2,1633
M9,P12,2006/7,5040
M9,P12,2006/9,0
M3,P12,2006/10,0
M3,P12,2007/5,-1
M3,P12,2007/5,0
M3,P12,2007/6,824
M3,P12,2007/6,0
M3,P12,2007/8,0
M6,P12,2007/6,0
M2,P05,2007/12,0
M4,P05,2005/10,308
M0,P05,2006/4,0
M0,P05,2006/4,135
M0,P05,2006/7,118
M0,P05,2006/8,0
M0,P05,2006/11,14559
M0,P05,2006/11,74
M8,P05,2005/10,0
M8,P05,2006/5,3159
M8,P05,2006/7,95
M8,P05,2006/9,2952
M4,P05,2005/12,0
M4,P05,2006/1,0
M5,P05,2005/10,0
M5,P05,2005/12,706
M5,P05,2006/9,0
M5,P05,2006/11,0
M5,P05,2007/3,-16
M7,P05,2005/11,93
M7,P05,2005/12,420
M7,P05,2006/3,26450
M7,P05,2006/7,101
M1,P05,2006/3,0
M1,P05,2006/6,0
M9,P05,2006/1,41
M9,P05,2006/2,0
M3,P05,2006/11,2117
M3,P05,2007/3,0
M3,P05,2007/6,0
M3,P05,2007/6,0
M3,P05,2007/7,0
M2,P28,2007/5,7140
M4,P28,2005/4,1859
M4,P28,2005/5,202
M4,P28,2005/6,0
M0,P28,2006/9,13356
M0,P28,2007/4,0
M8,P28,2005/11,1160
M8,P28,2005/11,227
M8,P28,2005/12,0
M8,P28,2006/2,0
M8,P28,2006/2,2924
M8,P28,2006/2,0
M8,P28,2006/4,336
M8,P28,2006/10,-5
M4,P28,2005/12,888
M5,P28,2005/9,0
M5,P28,2005/10,0
M5,P28,2005/12,0
M5,P28,2006/4,0
M5,P28,2006/5,2351
M5,P28,2006/5,84
M5,P28,2006/8,0
M5,P28,2006/11,0
M5,P28,2007/2,0
M7,P28,2006/11,0
M1,P28,2006/3,0
M1,P28,2006/7,68
M1,P28,2006/11,269
M1,P28,2007/2,0
M9,P28,2005/12,227
M3,P28,2006/10,15960
M3,P28,2006/11,252
M3,P28,2007/3,2319
M3,P28,2007/5,0
M3,P28,2007/5,0
M3,P28,2007/9,0
M2,P24,2007/6,61
M4,P24,2005/1,0
M4,P24,2005/1,0
M0,P24,2006/10,168
M0,P24,2007/4,0
M8,P24,2005/12,34
M8,P24,2006/3,0
M8,P24,2006/9,0
M4,P24,2005/11,0
M4,P24,2006/2,672
M4,P24,2006/2,0
M5,P24,2006/1,0
M5,P24,2006/5,0
M5,P24,2006/8,0
M5,P24,2006/12,0
M7,P24,2005/11,0
M7,P24,2006/9,0
M7,P24,2007/1,0
M7,P24,2007/2,0
M1,P24,2006/2,0
M1,P24,2006/11,0
M9,P24,2005/9,0
M9,P24,2005/11,0
M9,P24,2005/12,0
M9,P24,2005/12,343
M9,P24,2006/5,84
M3,P24,2007/6,0
M2,P02,2007/2,504
M2,P02,2007/6,0
M4,P02,2005/3,756
M4,P02,2005/9,84
M0,P02,2006/2,0
M0,P02,2006/7,0
M0,P02,2006/11,0
M0,P02,2007/1,0
M0,P02,2007/2,-11
M0,P02,2007/3,0
M8,P02,2005/10,0
M8,P02,2005/11,121
M8,P02,2006/6,202
M8,P02,2006/10,0
M8,P02,2006/12,0
M5,P02,2005/9,0
M5,P02,2006/4,572
M5,P02,2006/6,0
M5,P02,2006/8,0
M5,P02,2006/9,84
M7,P02,2005/10,0
M7,P02,2007/1,0
M7,P02,2007/2,0
M1,P02,2006/11,0
M1,P02,2006/11,0
M9,P02,2005/9,0
M9,P02,2006/5,185
M2,P19,2007/2,0
M2,P19,2007/9,0
M4,P19,2005/2,0
M4,P19,2005/6,2184
M4,P19,2005/6,266
M4,P19,2005/8,0
M4,P19,2005/9,1650
M0,P19,2006/7,2468
M0,P19,2006/8,0
M0,P19,2006/9,1244
M0,P19,2007/3,0
M8,P19,2006/2,0
M8,P19,2006/9,0
M8,P19,2006/10,168
M4,P19,2005/11,0
M4,P19,2005/12,0
M4,P19,2006/3,0
M5,P19,2005/12,0
M5,P19,2006/9,0
M5,P19,2006/9,0
M7,P19,2005/9,0
M7,P19,2006/3,0
M7,P19,2007/3,0
M1,P19,2006/5,0
M9,P19,2006/3,34
M9,P19,2006/4,0
M9,P19,2006/4,0
M3,P19,2007/6,6452
M2,P20,2007/3,0
M4,P20,2005/2,0
M4,P20,2005/9,232
M0,P20,2006/3,0
M0,P20,2006/11,0
M0,P20,2007/3,0
M8,P20,2005/9,0
M8,P20,2006/4,0
M8,P20,2006/5,241
M8,P20,2006/8,0
M4,P20,2006/1,0
M4,P20,2006/3,1462
M5,P20,2005/9,0
M5,P20,2005/11,3340
M5,P20,2006/6,0
M5,P20,2006/6,0
M5,P20,2006/10,0
M5,P20,2006/12,-1
M5,P20,2007/3,0
M7,P20,2005/11,168
M7,P20,2005/12,0
M7,P20,2006/4,336
M7,P20,2006/6,101
M7,P20,2006/7,0
M7,P20,2006/8,0
M1,P20,2006/7,0
M1,P20,2006/8,4200
M1,P20,2006/9,0
M1,P20,2006/9,185
M1,P20,2007/1,0
M1,P20,2007/1,0
M9,P20,2006/8,0
M3,P20,2007/5,0
M3,P20,2007/6,0
M3,P20,2007/9,0
M6,P20,2007/8,168
M2,P04,2007/9,0
M2,P04,2007/11,0
M2,P04,2007/12,0
M8,P04,2005/11,0
M8,P04,2006/5,2769
M8,P04,2006/6,281
M8,P04,2006/11,0
M4,P04,2005/12,4483
M5,P04,2005/9,0
M5,P04,2005/11,0
M5,P04,2006/1,2722
M5,P04,2006/7,0
M5,P04,2006/9,0
M5,P04,2006/10,4688
M7,P04,2006/4,0
M7,P04,2006/8,0
M1,P04,2006/10,59
M1,P04,2006/12,0
M1,P04,2007/1,-3
M9,P04,2005/7,0
M9,P04,2005/8,0
M9,P04,2005/9,622
M9,P04,2006/4,26
M3,P04,2006/11,515
M3,P04,2007/2,0
M3,P04,2007/5,0
M2,P07,2007/7,0
M4,P07,2005/5,0
M0,P07,2006/3,4301
M0,P07,2006/4,0
M0,P07,2006/4,3327
M0,P07,2006/4,336
M0,P07,2006/12,34
M0,P07,2007/4,0
M8,P07,2006/3,420
M8,P07,2006/6,2403
M4,P07,2005/11,0
M4,P07,2005/12,-5
M4,P07,2006/1,0
M4,P07,2006/2,9785
M4,P07,2006/4,0
M5,P07,2005/12,0
M5,P07,2006/5,1680
M5,P07,2006/8,1092
M5,P07,2006/9,0
M5,P07,2007/2,0
M7,P07,2005/9,0
M7,P07,2005/10,2618
M7,P07,2005/11,0
M7,P07,2007/1,0
M1,P07,2006/10,59
M9,P07,2006/5,5487
M9,P07,2006/6,0
M9,P07,2006/11,0
M3,P07,2007/7,0
M3,P07,2007/9,0
M6,P07,2007/9,316
M4,P22,2005/2,1916
M4,P22,2005/2,0
M8,P22,2005/9,0
M8,P22,2005/12,387
M8,P22,2006/1,0
M8,P22,2006/5,51
M4,P22,2005/11,0
M4,P22,2006/3,0
M4,P22,2006/4,0
M4,P22,2006/5,0
M5,P22,2005/11,61
M5,P22,2006/3,4200
M5,P22,2006/7,0
M5,P22,2006/7,16784
M5,P22,2006/12,0
M7,P22,2005/12,0
M7,P22,2006/3,17
M7,P22,2006/9,0
M7,P22,2006/11,0
M7,P22,2006/11,0
M1,P22,2006/4,0
M1,P22,2006/7,2252
M1,P22,2006/8,3539
M1,P22,2006/9,0
M9,P22,2005/7,0
M3,P22,2007/3,0
M3,P22,2007/7,0
M3,P22,2007/9,0
M2,P15,2007/10,0
M4,P15,2005/1,0
M4,P15,2005/3,0
M4,P15,2005/5,1506
M4,P15,2005/5,1297
M4,P15,2005/6,51
M4,P15,2005/9,365
M4,P15,2005/10,0
M0,P15,2006/4,0
M8,P15,2005/10,0
M8,P15,2006/2,2924
M8,P15,2006/7,723
M4,P15,2006/3,101
M4,P15,2006/4,71
M5,P15,2005/12,0
M5,P15,2006/2,83
M5,P15,2006/5,168
M5,P15,2006/5,0
M5,P15,2006/6,0
M5,P15,2006/7,2016
M5,P15,2006/9,84
M5,P15,2006/9,0
M7,P15,2006/2,1499
M7,P15,2006/4,0
M7,P15,2006/8,2067
M7,P15,2006/11,0
M7,P15,2006/11,0
M7,P15,2007/3,0
M9,P15,2005/8,0
M9,P15,2005/8,4066
M9,P15,2006/2,0
M3,P15,2007/4,1680
M3,P15,2007/8,0
M6,P15,2007/11,51
M4,P17,2005/9,42
M8,P17,2006/1,867
M8,P17,2006/2,0
M8,P17,2006/2,0
M8,P17,2006/8,1294
M4,P17,2005/12,5897
M4,P17,2006/5,0
M5,P17,2005/10,0
M5,P17,2006/2,0
M5,P17,2006/12,0
M7,P17,2006/9,538
M7,P17,2006/10,0
M7,P17,2006/10,17
M1,P17,2006/6,0
M1,P17,2006/7,901
M1,P17,2006/12,0
M1,P17,2007/1,0
M9,P17,2005/8,84
M9,P17,2005/9,368
M9,P17,2005/11,782
M9,P17,2006/5,908
M3,P17,2006/11,911
M3,P17,2007/2,303
M3,P17,2007/2,0
M3,P17,2007/3,0
M3,P17,2007/6,0
M3,P17,2007/7,0
M2,P30,2007/10,0
M4,P30,2005/2,0
M4,P30,2005/7,51
M0,P30,2006/7,0
M0,P30,2006/10,1008
M0,P30,2006/10,0
M0,P30,2007/3,-5
M0,P30,2007/4,0
M8,P30,2005/11,1983
M8,P30,2006/7,95
M8,P30,2006/7,723
M8,P30,2006/9,2688
M8,P30,2006/10,-5
M8,P30,2006/11,0
M8,P30,2006/11,0
M5,P30,2005/10,0
M5,P30,2005/10,0
M5,P30,2007/1,0
M5,P30,2007/3,0
M1,P30,2006/8,0
M1,P30,2006/10,0
M1,P30,2007/2,0
M9,P30,2006/3,51
M9,P30,2006/8,454
M9,P30,2006/8,672
M3,P30,2006/10,182
M3,P30,2006/11,0
M3,P30,2007/3,3848
M6,P30,2007/9,0
M4,P03,2005/3,2658
M4,P03,2005/3,0
M4,P03,2005/8,0
M4,P03,2005/10,0
M0,P03,2006/10,0
M0,P03,2006/11,84
M0,P03,2007/4,0
M8,P03,2005/12,2327
M4,P03,2005/12,202
M4,P03,2006/2,0
M5,P03,2005/10,68
M5,P03,2005/10,0
M5,P03,2006/1,2268
M5,P03,2006/3,0
M5,P03,2006/6,34
M5,P03,2007/1,0
M7,P03,2005/10,9007
M7,P03,2005/12,41
M7,P03,2007/1,0
M1,P03,2006/7,706
M9,P03,2005/10,93
M9,P03,2005/11,672
M9,P03,2005/11,6211
M9,P03,2006/3,691
M9,P03,2006/7,0
M9,P03,2006/9,-1
M3,P03,2006/10,0
M3,P03,2007/2,51
M3,P03,2007/8,0
M4,P11,2005/2,68
M4,P11,2005/6,1734
M4,P11,2005/9,0
M0,P11,2006/2,0
M0,P11,2006/2,0
M0,P11,2006/8,29
M0,P11,2006/10,98
M0,P11,2006/11,0
M0,P11,2007/4,0
M0,P11,2007/4,0
M8,P11,2005/9,0
M8,P11,2005/10,4016
M8,P11,2006/5,0
M8,P11,2006/5,0
M8,P11,2006/11,0
M4,P11,2005/11,5845
M4,P11,2005/12,4483
M5,P11,2005/9,0
M5,P11,2005/11,0
M5,P11,2006/1,2722
M5,P11,2006/3,0
M5,P11,2006/6,5365
M5,P11,2006/9,0
M5,P11,2006/11,0
M5,P11,2007/3,0
M7,P11,2006/2,0
M7,P11,2006/6,0
M7,P11,2006/7,21
M7,P11,2006/9,0
M7,P11,2006/10,0
M7,P11,2007/2,0
M1,P11,2006/8,0
M1,P11,2006/8,0
M1,P11,2006/10,0
M1,P11,2006/12,2141
M1,P11,2007/1,0
M3,P11,2007/3,0
M3,P11,2007/5,0
M6,P11,2007/10,0
M8,P16,2006/12,0
M2,P16,2008/1,0
M4,P16,2005/4,1722
M4,P16,2005/10,0
M0,P16,2006/3,0
M0,P16,2007/3,758
M8,P16,2005/9,0
M8,P16,2005/11,0
M8,P16,2006/1,924
M5,P16,2005/9,0
M5,P16,2005/10,51
M5,P16,2006/3,0
M5,P16,2007/1,0
M7,P16,2005/10,0
M7,P16,2005/12,0
M7,P16,2006/2,0
M7,P16,2006/6,0
M7,P16,2006/10,0
M7,P16,2006/11,0
M1,P16,2006/2,0
M9,P16,2005/7,0
M9,P16,2005/7,0
M9,P16,2005/9,336
M9,P16,2005/10,219
M9,P16,2006/11,0
M3,P16,2007/3,84
M3,P16,2007/3,0
M3,P16,2007/5,857
M2,P27,2007/3,0
M2,P27,2007/4,698
M2,P27,2007/7,0
M2,P27,2007/9,0
M2,P27,2007/9,0
M2,P27,2007/10,0
M4,P27,2005/3,0
M4,P27,2005/4,0
M4,P27,2005/7,504
M4,P27,2005/7,252
M0,P27,2006/3,0
M0,P27,2006/8,3455
M0,P27,2007/3,0
M8,P27,2005/10,0
M8,P27,2006/8,168
M8,P27,2006/11,0
M4,P27,2006/3,7
M5,P27,2005/9,0
M5,P27,2007/1,0
M5,P27,2007/2,0
M7,P27,2006/1,0
M7,P27,2007/1,0
M1,P27,2006/8,9734
M9,P27,2006/9,0
M9,P27,2006/9,0
M9,P27,2006/9,0
M3,P27,2007/6,0
M6,P27,2007/9,316
M6,P27,2007/9,61
M6,P27,2007/11,0
M4,P21,2005/7,1008
M4,P21,2005/8,0
M4,P21,2005/9,42
M0,P21,2006/2,0
M0,P21,2006/6,2772
M0,P21,2006/10,-1
M0,P21,2007/1,0
M0,P21,2007/3,0
M8,P21,2006/6,-3
M8,P21,2006/6,2688
M8,P21,2006/7,303
M8,P21,2006/10,0
M4,P21,2005/11,6720
M4,P21,2006/2,0
M4,P21,2006/3,0
M4,P21,2006/3,0
M4,P21,2006/5,0
M5,P21,2005/9,0
M5,P21,2005/9,0
M5,P21,2005/11,0
M5,P21,2006/3,1008
M5,P21,2006/7,336
M5,P21,2006/10,-1
M5,P21,2006/12,0
M5,P21,2007/3,0
M7,P21,2006/1,0
M1,P21,2006/7,0
M1,P21,2006/7,0
M1,P21,2006/9,0
M3,P21,2006/11,0
M3,P21,2007/3,0
M2,P06,2007/7,0
M2,P06,2007/12,0
M4,P06,2005/1,0
M4,P06,2005/4,0
M4,P06,2005/6,1229
M4,P06,2005/7,1008
M4,P06,2005/8,2003
M0,P06,2006/2,0
M0,P06,2006/9,10905
M8,P06,2005/11,0
M8,P06,2006/7,0
M8,P06,2006/10,0
M8,P06,2006/11,0
M4,P06,2005/11,4214
M4,P06,2006/1,420
M4,P06,2006/1,395
M5,P06,2006/1,0
M5,P06,2006/1,0
M5,P06,2006/7,0
M5,P06,2006/10,0
M7,P06,2005/10,0
M7,P06,2005/12,0
M7,P06,2006/3,0
M7,P06,2006/7,0
M1,P06,2006/7,0
M1,P06,2006/12,0
M1,P06,2007/2,0
M9,P06,2005/8,0
M9,P06,2006/11,0
M3,P06,2006/10,6972
M2,P23,2007/2,0
M2,P23,2007/4,530
M2,P23,2007/8,0
M4,P23,2005/2,0
M4,P23,2005/3,0
M4,P23,2005/11,706
M0,P23,2006/5,0
M0,P23,2006/10,-1
M0,P23,2007/1,-3
M8,P23,2006/2,0
M8,P23,2006/6,0
M8,P23,2006/6,0
M4,P23,2006/2,0
M4,P23,2006/5,0
M5,P23,2006/5,252
M5,P23,2006/5,6981
M5,P23,2006/6,671
M5,P23,2006/7,605
M5,P23,2006/9,0
M5,P23,2007/2,0
M5,P23,2007/2,-1
M5,P23,2007/2,0
M7,P23,2005/10,0
M7,P23,2006/2,0
M7,P23,2006/3,27
M7,P23,2006/7,26
M7,P23,2006/9,34
M7,P23,2006/12,0
M1,P23,2006/6,0
M1,P23,2006/8,168
M1,P23,2007/1,0
M1,P23,2007/2,0
M9,P23,2005/9,336
M9,P23,2006/3,0
M9,P23,2006/9,0
M3,P23,2006/12,0
M3,P23,2007/1,3562
M3,P23,2007/4,0
M3,P23,2007/4,0
M6,P23,2008/1,0
M4,P31,2005/3,1126
M4,P31,2005/5,840
M4,P31,2005/11,0
M0,P31,2006/9,587
M0,P31,2006/11,0
M0,P31,2006/11,74
M0,P31,2007/2,-119
M0,P31,2007/4,0
M8,P31,2006/5,0
M8,P31,2006/8,504
M8,P31,2006/8,0
M5,P31,2006/4,0
M5,P31,2006/6,671
M5,P31,2006/11,0
M5,P31,2007/2,0
M7,P31,2006/6,101
M7,P31,2006/7,0
M7,P31,2007/1,0
M1,P31,2006/4,4688
M1,P31,2006/6,0
M1,P31,2006/9,1781
M9,P31,2005/9,6183
M3,P31,2007/8,0
M2,P09,2007/2,0
M4,P09,2005/2,496
M4,P09,2005/4,13763
M4,P09,2005/9,0
M0,P09,2006/7,2468
M0,P09,2006/10,4091
M0,P09,2007/2,0
M0,P09,2007/2,0
M0,P09,2007/4,0
M0,P09,2007/4,11
M8,P09,2005/11,3881
M8,P09,2005/12,0
M8,P09,2006/2,0
M8,P09,2006/3,0
M8,P09,2006/3,1504
M8,P09,2006/3,2361
M8,P09,2006/5,0
M4,P09,2006/2,0
M4,P09,2006/3,0
M5,P09,2005/9,0
M5,P09,2006/5,1344
M5,P09,2006/11,0
M5,P09,2007/2,0
M7,P09,2005/11,41
M7,P09,2006/1,0
M7,P09,2006/6,0
M7,P09,2006/7,21
M7,P09,2006/8,504
M1,P09,2006/5,0
M1,P09,2006/11,1848
M1,P09,2006/11,0
M9,P09,2005/10,3728
M9,P09,2006/1,-1
M9,P09,2006/3,0
M3,P09,2007/2,0
M2,P10,2007/3,0
M2,P10,2008/1,0
M4,P10,2005/9,535
M4,P10,2005/10,735
M0,P10,2006/2,0
M0,P10,2006/3,0
M0,P10,2006/7,0
M8,P10,2005/12,244
M8,P10,2005/12,0
M8,P10,2006/1,6290
M8,P10,2006/1,0
M8,P10,2006/9,3325
M5,P10,2005/11,0
M5,P10,2006/9,0
M5,P10,2006/9,0
M5,P10,2006/9,0
M5,P10,2006/12,0
M5,P10,2007/2,0
M7,P10,2005/12,0
M7,P10,2006/11,0
M7,P10,2007/2,0
M1,P10,2006/11,0
M9,P10,2005/11,672
M9,P10,2005/11,0
M9,P10,2006/1,0
M9,P10,2006/10,958
M9,P10,2006/11,0
M3,P10,2007/1,118
M3,P10,2007/2,168
M3,P10,2007/3,3112
M3,P10,2007/8,0
M2,P29,2007/5,0
M2,P29,2007/11,0
M4,P29,2005/7,236
M4,P29,2005/7,152
M0,P29,2006/3,0
M0,P29,2006/4,11
M0,P29,2006/5,51
M0,P29,2006/11,0
M0,P29,2006/12,0
M0,P29,2007/2,-5
M0,P29,2007/3,0
M0,P29,2007/4,-5
M8,P29,2005/11,2
M8,P29,2005/12,1966
M8,P29,2006/1,0
M8,P29,2006/3,0
M8,P29,2006/3,0
M8,P29,2006/12,0
M4,P29,2005/12,202
M4,P29,2006/5,-1
M5,P29,2005/11,1308
M5,P29,2006/4,588
M5,P29,2006/8,0
M5,P29,2006/11,0
M5,P29,2006/12,0
M5,P29,2007/3,0
M7,P29,2006/8,504
M7,P29,2006/11,0
M7,P29,2007/2,0
M1,P29,2006/4,0
M1,P29,2006/8,51
M9,P29,2006/4,34
M3,P29,2007/5,-5
M4,P25,2005/7,2
M4,P25,2005/9,34
M4,P25,2005/9,84
M4,P25,2005/10,0
M4,P25,2006/4,0
M5,P25,2006/2,0
M5,P25,2006/7,0
M1,P25,2006/4,765
M1,P25,2006/6,0
M1,P25,2006/9,0
M1,P25,2007/1,0
M9,P25,2005/7,0
M9,P25,2006/2,0
M9,P25,2006/3,504
M9,P25,2006/4,185
M9,P25,2006/9,0
